city_id,city_name,latitude,longitude,date,temp,humidity,cloudiness,wind
1278935,Amalāpuram,16.58,82.02,08/11/20,82.4,69.0,75.0,8.05
3433899,Formosa,-26.18,-58.18,08/11/20,66.2,29.0,40.0,18.34
4566208,Maunabo,18.01,-65.9,08/11/20,87.98,78.0,88.0,8.01
3418910,Upernavik,72.79,-56.15,08/11/20,42.08,66.0,100.0,8.46
5546220,Saint George,37.1,-113.58,08/11/20,89.08,11.0,1.0,4.7
3421765,Nanortalik,60.14,-45.24,08/11/20,45.28,83.0,100.0,15.05
3369157,Cape Town,-33.93,18.42,08/11/20,54.84,66.0,75.0,11.41
5391791,San Clemente,33.43,-117.61,08/11/20,70.23,83.0,0.0,3.0
4032420,Neiafu,-18.65,-173.98,08/11/20,75.2,83.0,75.0,8.05
2126785,Belaya Gora,68.53,146.42,08/11/20,37.9,78.0,28.0,5.55
3684683,El Carmen,8.51,-73.45,08/11/20,81.77,70.0,69.0,1.92
1508894,Borovoy,55.43,86.08,08/11/20,71.6,73.0,1.0,4.47
2017155,Saskylakh,71.92,114.08,08/11/20,36.39,80.0,9.0,8.46
1789065,Ankang,32.68,109.02,08/11/20,77.95,79.0,100.0,2.13
3382160,Cayenne,4.93,-52.33,08/11/20,87.8,66.0,1.0,13.87
6096551,Pangnirtung,66.15,-65.71,08/11/20,46.4,81.0,20.0,16.11
1224061,Wattegama,6.8,81.48,08/11/20,79.18,70.0,79.0,5.48
1273083,Deoli,25.75,75.38,08/11/20,79.79,90.0,100.0,8.28
3865086,Bahía Blanca,-38.72,-62.27,08/11/20,52.07,43.0,0.0,14.67
4035715,Avarua,-21.21,-159.78,08/11/20,69.8,68.0,74.0,6.93
3141332,Røros,62.57,11.38,08/11/20,69.8,49.0,53.0,9.17
341877,Bodītī,6.97,37.87,08/11/20,61.14,86.0,91.0,2.3
1106643,Quatre Cocos,-20.21,57.76,08/11/20,67.32,49.0,40.0,5.82
2276492,Harper,4.38,-7.72,08/11/20,77.32,73.0,100.0,13.06
1714733,Dingle,11.0,122.67,08/11/20,77.11,84.0,100.0,4.12
1633419,Padang,-0.95,100.35,08/11/20,79.75,79.0,52.0,3.96
2447513,Arlit,18.74,7.39,08/11/20,91.09,38.0,26.0,8.1
2294915,Takoradze,4.88,-1.76,08/11/20,77.47,72.0,80.0,9.78
1796663,Bantou,26.22,117.49,08/11/20,75.09,84.0,99.0,1.45
2206939,Bluff,-46.6,168.33,08/11/20,43.0,95.0,66.0,9.1
1226260,Trincomalee,8.57,81.23,08/11/20,81.43,74.0,81.0,19.98
4032243,Vaini,-21.2,-175.2,08/11/20,71.6,83.0,40.0,5.82
1071296,Antalaha,-14.9,50.28,08/11/20,67.44,72.0,0.0,12.15
